id_contrat;Expo;type_produit;Statut_cloture;recup_tot_realise;lgd ;tx_recup_total_realisee;controle;duree ;date_entree_defaut;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24;M25;M26;M27;M28;M29;M30;M31;M32;M33;M34;M35;M36;M37;M38;M39;M40;M41;M42;M43;M44;M45;M46;M47;M48
847854925;1568; Facilities ;clos;349;0.482142857142857;0.517857142857143;1;48;2015;4;9;1;6;3;1;16;1;7;2;5;16;13;6;12;9;15;3;4;12;8;8;1;6;6;14;1;4;15;1;3;1;11;1;11;15;6;1;6;11;15;8;14;14;16;5;0;2
314214863;3844; Classique ;clos;1171;0.321540062434964;0.678459937565036;1;48;2015;13;50;28;17;39;4;44;19;32;1;17;18;44;34;28;46;2;3;17;19;7;49;34;12;5;52;9;51;52;38;52;17;24;10;31;27;10;10;44;18;7;22;27;8;41;6;26;7
250892152;1767; Facilities ;clos;572;0.43520090548953;0.56479909451047;1;48;2015;4;19;3;19;12;6;9;9;16;16;5;18;7;18;12;1;17;10;9;13;0;15;11;6;3;18;19;10;13;17;4;16;20;9;19;11;19;6;20;20;12;0;6;15;17;14;19;10
920298035;4765; Classique ;clos;1211;0.425603357817419;0.574396642182581;1;48;2015;13;23;0;12;36;9;1;27;7;2;18;55;44;29;18;6;51;2;43;39;36;38;35;9;45;11;5;49;55;8;28;37;35;51;8;53;51;32;2;44;14;33;22;19;8;28;0;20
178339731;6263; Classique ;clos;1546;0.494810793549417;0.505189206450583;1;48;2015;0;52;16;2;32;33;50;57;0;61;43;38;54;58;17;4;13;34;23;59;29;46;23;35;21;3;53;31;57;21;24;42;31;48;34;59;61;15;15;62;33;22;15;2;0;16;60;42
909161719;5715; Classique ;clos;1818;0.405774278215223;0.594225721784777;1;48;2015;26;46;30;60;70;45;34;27;34;45;40;50;24;58;42;9;8;52;64;45;37;52;23;43;22;42;39;19;25;11;69;56;54;49;39;8;37;66;48;16;40;9;24;38;64;9;42;28
591664902;5194; Classique ;clos;1707;0.336734693877551;0.663265306122449;1;48;2015;54;46;54;54;40;24;46;58;42;0;34;20;40;36;39;14;41;38;59;67;12;17;58;21;71;3;50;4;40;42;41;4;52;40;40;19;20;67;55;29;23;28;5;51;36;27;45;1
825978974;1423; Facilities ;clos;401;0.41391426563598;0.58608573436402;1;48;2015;4;2;3;11;5;11;10;8;4;7;13;6;0;12;0;6;3;9;12;17;17;15;7;17;10;7;17;1;14;14;1;12;0;3;10;3;16;3;3;11;7;7;5;15;17;10;10;6
595281152;4759; Classique ;clos;1370;0.380121874343349;0.619878125656651;1;48;2015;47;35;16;25;2;53;36;36;22;16;4;45;55;34;43;39;39;18;34;11;23;61;46;24;20;28;26;12;39;57;41;32;12;35;6;9;41;13;31;33;40;24;0;15;7;10;47;28
614522890;3417; Classique ;clos;1018;0.340942347088089;0.659057652911911;1;48;2015;37;33;29;2;18;10;26;31;21;45;12;31;16;0;12;29;5;36;5;5;17;33;1;9;9;17;45;27;37;29;13;33;14;7;44;23;8;7;18;31;32;23;17;40;23;4;41;13
908106279;4993; Classique ;clos;1580;0.324654516322852;0.675345483677148;1;48;2015;77;0;51;16;65;8;16;3;56;25;36;45;47;4;12;17;12;43;38;21;44;63;54;48;32;3;47;55;61;14;29;22;45;52;44;64;2;37;38;12;69;0;20;3;27;31;50;22
331953399;5184; Classique ;clos;1931;0.361111111111111;0.638888888888889;1;48;2015;37;50;62;0;40;7;33;11;32;69;54;69;42;60;12;61;14;51;19;37;24;48;38;50;54;54;33;24;29;68;57;57;13;68;22;60;13;67;46;37;68;37;31;26;61;19;26;41
753801568;5248; Classique ;clos;1756;0.336509146341463;0.663490853658537;1;48;2015;131;6;63;50;55;63;7;19;45;50;43;71;46;47;48;70;31;0;20;68;65;31;12;50;47;28;46;33;22;17;9;11;34;40;14;6;2;64;42;12;6;60;18;19;72;41;14;8
148326418;2885; Facilities ;clos;782;0.480069324090121;0.519930675909879;1;48;2015;84;23;27;28;19;17;25;15;11;14;22;7;19;24;14;2;11;27;29;18;16;9;17;9;12;1;17;1;24;26;8;9;8;12;1;29;5;12;20;0;19;16;29;9;5;19;1;12
578384290;1683; Facilities ;clos;385;0.443850267379679;0.556149732620321;1;48;2015;6;15;10;4;3;10;2;11;8;13;0;5;16;4;12;2;12;15;2;10;0;2;5;9;2;2;14;19;0;15;6;9;17;3;7;0;16;15;2;5;5;14;4;8;15;10;7;14
637847524;6155; Classique ;clos;1818;0.451340373679935;0.548659626320065;1;48;2015;73;62;59;45;35;27;34;30;10;59;24;0;25;37;68;9;55;7;60;41;25;50;5;47;52;68;11;55;49;25;29;61;28;32;68;58;4;40;8;66;33;60;60;41;9;11;57;6
541362416;2647; Facilities ;clos;741;0.47072157159048;0.52927842840952;1;48;2015;15;29;11;26;14;0;9;1;1;6;27;19;18;28;21;4;27;23;12;13;29;11;27;0;22;3;29;26;9;19;20;0;9;3;7;21;16;6;9;24;13;18;12;27;21;14;16;26
315307952;4341; Classique ;clos;1204;0.44713199723566;0.55286800276434;1;48;2015;6;6;30;38;43;27;29;12;7;15;48;23;27;42;8;36;44;22;39;33;32;23;49;28;12;4;50;45;41;9;3;11;11;33;25;11;4;15;11;26;3;40;40;42;17;38;10;36
131644081;4935; Classique ;clos;1440;0.444174265450861;0.555825734549139;1;48;2015;4;41;11;39;41;43;30;22;17;53;54;25;26;56;37;21;35;26;28;47;50;44;19;33;12;28;25;44;19;8;28;10;54;1;17;17;20;55;38;51;10;43;20;46;32;3;3;54
957557819;3693; Classique ;clos;915;0.403466016788519;0.596533983211481;1;48;2015;22;3;17;39;2;5;14;14;12;7;8;26;28;16;1;32;22;30;24;11;31;24;14;34;39;28;4;17;12;18;7;18;31;3;13;36;1;15;5;5;38;28;43;15;41;27;25;10
512852382;2243; Facilities ;clos;617;0.440035666518056;0.559964333481944;1;48;2015;73;4;6;7;13;18;0;12;17;0;20;15;16;6;25;24;14;4;26;9;21;5;12;18;3;11;22;18;13;19;6;8;1;21;8;22;1;6;0;20;21;11;12;2;1;6;9;11
339506349;2279; Facilities ;clos;638;0.447564721369021;0.552435278630979;1;48;2015;50;25;24;11;22;0;22;23;1;20;20;2;7;2;2;17;1;15;14;21;6;8;10;15;2;3;6;24;18;2;10;12;26;21;0;10;0;23;14;20;2;15;21;6;6;26;14;19
846563623;2306; Facilities ;clos;670;0.388117953165655;0.611882046834345;1;48;2015;11;9;2;20;13;10;21;27;20;18;8;8;24;2;14;18;15;4;20;11;6;1;9;17;27;26;15;9;5;2;3;21;8;27;11;1;27;0;9;20;6;17;26;5;23;25;28;21
434259004;6672; Classique ;clos;1871;0.434352517985612;0.565647482014388;1;48;2015;58;36;21;22;19;16;46;62;44;3;17;77;57;13;57;25;74;75;40;9;41;51;63;20;27;30;0;75;68;27;24;51;38;17;78;71;77;19;53;60;62;17;6;41;4;31;39;10
823820530;6183; Classique ;clos;1804;0.340126152353227;0.659873847646773;1;48;2015;103;17;16;0;17;30;9;44;82;69;79;20;31;39;1;19;13;84;25;26;2;4;17;23;67;82;0;59;28;55;24;2;6;23;45;5;38;69;74;82;69;13;60;68;24;79;10;52
599399368;6114; Classique ;clos;2130;0.385181550539745;0.614818449460255;1;48;2015;13;11;65;41;72;17;9;37;45;22;41;66;66;15;51;72;13;76;72;26;64;46;63;77;67;7;26;29;33;71;26;72;39;15;34;48;57;13;31;41;78;73;57;12;33;78;57;53
613117709;4544; Classique ;clos;1411;0.376320422535211;0.623679577464789;1;48;2015;11;33;14;52;36;56;12;1;31;6;31;40;46;23;45;42;50;33;35;2;18;19;39;55;29;40;1;7;9;19;6;51;7;38;37;1;37;2;49;12;58;41;42;12;44;43;54;42
889514305;6952; Classique ;clos;2070;0.398590333716916;0.601409666283084;1;48;2015;80;1;47;35;40;83;78;32;8;38;46;27;72;59;72;8;23;65;26;3;23;54;45;4;80;38;81;1;7;41;31;61;25;52;35;37;34;80;28;37;86;45;17;78;57;16;52;82
367836865;1472; Facilities ;clos;496;0.353940217391304;0.646059782608696;1;48;2015;10;9;15;18;6;13;1;17;10;6;5;7;17;7;8;5;10;16;8;7;16;17;17;13;8;16;12;0;19;9;10;10;0;15;3;4;9;14;14;2;3;10;3;13;18;19;17;10
421352095;1618; Facilities ;clos;471;0.331891223733004;0.668108776266996;1;48;2015;18;4;13;9;7;15;1;6;3;20;13;19;9;8;2;21;20;3;16;16;18;1;19;12;12;7;4;14;5;7;2;18;2;21;19;0;5;8;0;2;6;12;11;14;15;4;0;10
804380625;3025; Classique ;clos;826;0.354710743801653;0.645289256198347;1;48;2015;9;9;28;3;27;18;14;3;36;5;2;16;21;33;9;21;24;35;16;17;38;5;25;13;1;19;24;26;15;23;7;2;25;4;4;14;32;26;18;15;5;3;23;27;39;11;29;7
290866459;4539; Classique ;clos;1563;0.340163031504737;0.659836968495263;1;48;2015;23;54;61;37;50;37;31;9;59;29;43;58;7;49;21;10;55;46;42;9;50;10;14;11;30;38;26;31;50;54;40;37;49;22;46;4;26;3;25;44;46;52;0;30;26;27;6;36
362290563;6770; Classique ;clos;2310;0.340768094534712;0.659231905465288;1;48;2015;122;25;25;91;70;31;67;19;73;55;37;64;80;80;32;24;5;62;82;34;6;74;9;35;90;61;2;50;56;79;2;32;5;92;29;49;84;56;66;60;32;3;26;34;76;16;84;24
886633002;7144; Classique ;clos;2402;0.385078387458007;0.614921612541993;1;48;2015;50;44;63;53;38;84;88;37;26;52;30;49;32;79;29;63;43;19;23;63;87;24;74;28;73;3;61;5;59;84;75;44;20;78;79;18;33;30;22;90;48;73;72;37;90;42;37;51
932475301;3914; Classique ;clos;1272;0.327797649463465;0.672202350536536;1;48;2015;81;39;23;14;51;32;5;25;39;1;39;52;11;40;18;41;2;7;2;36;28;21;23;50;12;15;17;20;45;31;28;16;11;10;16;16;0;26;23;17;50;27;53;49;27;33;37;13
543831906;2738; Facilities ;clos;765;0.414536157779401;0.585463842220599;1;48;2015;2;15;0;30;1;24;25;23;20;9;21;11;20;18;33;13;7;14;7;26;10;32;16;31;17;5;17;30;0;22;10;29;9;9;20;19;6;22;6;3;30;22;3;22;16;1;7;32
457894071;7164; Classique ;clos;2073;0.481853713009492;0.518146286990508;1;48;2015;124;15;66;44;19;27;44;21;28;20;18;59;75;29;49;64;73;54;47;24;30;55;25;58;36;42;36;15;56;0;49;29;61;15;15;65;26;1;44;64;56;51;59;76;41;45;72;51
618715601;5433; Classique ;clos;1138;0.499723909442297;0.500276090557703;1;48;2015;7;7;47;11;41;17;3;54;17;32;1;17;43;15;4;5;19;43;16;38;18;37;0;4;52;55;5;0;46;56;32;43;27;9;21;1;24;36;11;28;22;33;13;23;56;48;1;0
890368857;2909; Facilities ;clos;913;0.369886558954967;0.630113441045033;1;48;2015;53;32;35;19;31;23;14;21;1;30;37;38;5;13;13;14;28;2;17;13;15;28;2;11;7;10;19;3;2;1;5;21;38;17;38;28;29;28;15;29;26;26;1;15;6;19;17;18
448312685;6783; Classique ;clos;2090;0.382426654872475;0.617573345127525;1;48;2015;162;36;19;67;61;51;80;80;71;32;18;62;16;9;81;24;67;12;48;80;1;67;9;58;20;29;26;8;22;31;28;1;52;43;77;2;46;49;37;42;12;76;55;9;44;24;63;83
875416010;6775; Classique ;clos;1805;0.486642066420664;0.513357933579336;1;48;2015;42;57;25;69;49;3;8;11;59;12;8;11;66;20;27;7;72;56;65;12;35;39;39;33;23;29;52;66;69;59;21;1;14;35;19;35;69;50;37;11;63;24;64;42;8;66;55;68
