Id_contrat; Expo ; typ_produit ; Recup_total ;Statut_cloture;lgd ;tx_recup_total;controle;duree ; date_entree_defaut ;recup1;recup2;recup3;recup4;recup5;recup6;recup7;recup8;recup9;recup10;recup11;recup12;recup13;recup14;recup15;recup16;recup17;recup18;recup19;recup20;recup21;recup22;recup23;recup24;recup25;recup26;recup27;recup28;recup29;recup30;recup31;recup32;recup33;recup34;recup35;recup36;recup37;recup38;recup39;recup40;recup41;recup42;recup43;recup44;recup45;recup46;recup47;recup48
930272575;5404; Classique ;3688;clos;0.31754;0.68246;1;42;2016;13;21;50;11;3;25;33;14;6;14;20;8;41;64;47;44;60;62;0;40;4;7;9;11;4;60;45;47;17;3;4;49;11;48;11;31;50;37;16;14;36;2598;0;0;0;0;0;0
127156970;5060; Classique ;3163;clos;0.3749;0.6251;1;38;2016;45;44;25;0;40;24;21;43;54;53;47;52;35;26;22;12;31;19;38;20;32;15;5;10;32;10;36;30;22;3;39;36;32;21;41;0;20;2128;0;0;0;0;0;0;0;0;0;0
114752124;4913; Classique ;2793;clos;0.43151;0.56849;1;38;2016;54;16;10;7;4;50;35;21;25;45;4;22;41;23;16;13;34;16;8;44;22;17;6;32;19;15;25;25;5;7;26;37;17;36;0;5;19;1992;0;0;0;0;0;0;0;0;0;0
724522225;3593; Classique ;2271;clos;0.36794;0.63206;1;42;2016;60;8;16;14;36;41;7;36;8;0;12;21;23;37;22;31;26;28;21;30;12;12;33;32;6;29;16;7;26;20;27;1;0;10;3;19;15;25;8;11;14;1468;0;0;0;0;0;0
441133293;6065; Classique ;4006;clos;0.33949;0.66051;1;39;2016;120;43;59;6;13;61;5;56;38;11;40;6;21;24;51;14;49;42;52;48;49;3;5;55;40;53;1;21;16;55;2;53;15;30;47;4;4;45;2749;0;0;0;0;0;0;0;0;0
678118666;7302; Classique ;4822;clos;0.33963;0.66037;1;37;2016;19;36;17;68;76;71;33;3;86;38;7;47;69;77;46;62;10;74;15;18;27;29;64;74;20;48;43;67;47;53;11;31;22;0;68;15;3331;0;0;0;0;0;0;0;0;0;0;0
671908078;1191; Facilitié de paiement ;623;clos;0.47691;0.52309;1;43;2016;1;1;9;9;11;1;8;3;9;2;3;2;7;2;3;8;1;6;8;2;4;7;2;10;2;2;2;9;2;7;2;8;4;1;2;2;4;4;5;3;8;6;431;0;0;0;0;0
571759737;7326; Classique ;4002;assimilé clos;0.45373;0.54627;1;48;2015;119;13;29;39;69;49;56;25;3;72;37;12;55;44;58;50;58;61;46;18;27;55;56;24;47;51;51;23;39;44;38;2;10;27;38;24;0;34;28;10;43;5;10;40;31;4;36;229.2
133081609;4291; Classique ;2369;clos;0.44791;0.55209;1;45;2016;51;2;0;37;37;35;0;40;39;7;36;10;19;38;24;17;11;33;13;9;35;18;10;18;0;5;14;19;32;29;34;0;31;22;2;26;12;31;1;13;26;26;17;27;1463;0;0;0
786568088;5922; Classique ;3912;clos;0.33941;0.66059;1;39;2016;0;24;18;22;49;10;19;56;12;41;64;66;31;35;17;60;25;7;65;27;33;50;38;49;27;11;48;8;31;14;52;18;0;51;0;1;21;44;2768;0;0;0;0;0;0;0;0;0
247777540;3355; Classique ;2332;clos;0.30492;0.69508;1;40;2016;6;27;1;24;9;5;5;17;16;33;23;35;10;27;37;2;30;3;24;28;31;37;35;10;34;11;3;32;28;2;20;5;25;16;3;0;25;15;5;1633;0;0;0;0;0;0;0;0
635671428;2558; Facilitié de paiement ;1328;clos;0.48084;0.51916;1;38;2016;51;2;14;10;0;8;4;11;6;10;14;2;9;23;15;11;1;19;12;22;9;7;1;7;17;8;9;15;19;0;4;12;17;4;2;4;14;935;0;0;0;0;0;0;0;0;0;0
527985723;7016; Classique ;4700;clos;0.3301;0.6699;1;42;2016;182;27;44;85;31;51;83;78;13;47;67;26;4;37;47;23;2;11;21;59;32;4;63;1;12;31;43;55;36;67;54;0;66;53;22;5;24;49;44;42;50;3009;0;0;0;0;0;0
956391951;4058; Classique ;2458;clos;0.39428;0.60572;1;38;2016;74;25;36;11;11;8;6;27;10;11;0;37;18;5;14;3;22;22;27;30;25;1;15;30;18;25;21;24;17;37;7;36;23;3;28;28;13;1710;0;0;0;0;0;0;0;0;0;0
822101513;1299; Facilitié de paiement ;802;clos;0.3826;0.6174;1;46;2016;12;1;1;0;8;8;8;2;1;2;15;10;4;3;3;11;7;8;5;11;3;7;9;9;5;2;5;9;8;7;12;3;9;2;3;10;11;11;7;3;9;6;0;3;8;521;0;0
820983072;5966; Classique ;3160;clos;0.47033;0.52967;1;46;2016;89;30;11;52;33;23;58;41;5;35;41;21;23;52;26;26;9;24;33;17;34;27;16;2;26;22;40;36;41;19;28;2;18;27;21;4;34;37;20;18;1;17;37;24;34;1926;0;0
963698742;5424; Classique ;3692;clos;0.31932;0.68068;1;47;2015;12;42;65;70;50;23;3;57;22;23;55;29;48;55;5;42;19;19;45;31;2;11;6;11;32;28;21;42;41;29;6;33;17;19;42;9;6;48;40;35;31;35;48;31;43;33;2278;0
602781400;4562; Classique ;2984;clos;0.3459;0.6541;1;46;2016;7;12;44;35;32;18;26;52;55;18;35;38;15;38;27;50;9;47;26;13;30;32;28;27;34;7;30;41;14;20;24;11;15;2;41;29;31;14;20;14;25;8;12;31;8;1839;0;0
874948764;3529; Classique ;2030;clos;0.42477;0.57523;1;36;2016;3;21;31;23;37;23;14;27;23;26;31;17;14;6;2;32;27;31;3;10;22;19;25;13;26;10;6;29;8;12;2;22;23;28;8;1376;0;0;0;0;0;0;0;0;0;0;0;0
224906575;1604; Facilitié de paiement ;1046;clos;0.34788;0.65212;1;35;2016;20;0;11;3;17;10;8;6;11;11;10;9;6;16;9;12;13;7;11;15;0;8;2;8;2;11;14;0;13;6;10;2;9;13;743;0;0;0;0;0;0;0;0;0;0;0;0;0
374269723;2864; Facilitié de paiement ;1846;clos;0.35545;0.64455;1;46;2016;37;4;21;23;4;32;13;0;14;12;29;2;3;33;2;20;27;9;0;10;12;2;21;1;17;10;29;21;27;18;15;19;4;9;13;4;9;0;22;19;25;20;23;6;23;1182;0;0
115149841;1139; Facilitié de paiement ;695;clos;0.38982;0.61018;1;44;2016;1;8;11;6;2;9;7;6;4;5;10;1;7;0;8;11;10;9;7;5;6;9;7;10;5;2;8;7;0;4;8;7;0;1;8;5;7;4;0;5;9;7;3;446;0;0;0;0
537951934;1970; Facilitié de paiement ;1072;clos;0.45584;0.54416;1;36;2016;14;21;14;15;12;6;13;7;4;9;0;4;16;5;0;7;14;1;10;9;16;13;8;0;3;15;7;9;0;10;10;9;1;1;5;784;0;0;0;0;0;0;0;0;0;0;0;0
155048789;6029; Classique ;4075;clos;0.3241;0.6759;1;46;2016;51;56;10;64;36;73;60;49;31;19;70;46;3;56;68;28;25;6;12;40;63;32;28;28;24;41;23;9;40;11;45;28;51;30;19;47;35;24;8;15;50;22;20;16;5;2558;0;0
614940264;4400; Classique ;2674;clos;0.39227;0.60773;1;35;2016;87;13;8;28;14;16;43;29;28;40;33;28;32;12;10;15;12;41;17;24;40;20;28;15;23;20;3;34;36;27;9;14;28;12;1835;0;0;0;0;0;0;0;0;0;0;0;0;0
851978645;5362; Classique ;2719;clos;0.49291;0.50709;1;38;2016;19;15;48;20;3;28;24;9;9;42;27;38;34;0;21;30;30;42;24;6;16;32;24;40;36;39;17;19;3;9;12;4;26;37;25;28;26;1857;0;0;0;0;0;0;0;0;0;0
649301363;6747; Classique ;3579;clos;0.46954;0.53046;1;46;2016;41;19;54;42;58;34;28;1;47;52;37;63;58;34;38;51;57;45;42;36;10;28;4;50;32;11;30;16;31;34;24;17;45;7;19;19;0;0;5;2;3;4;19;26;17;2289;0;0
206898292;4330; Classique ;2701;clos;0.37621;0.62379;1;39;2016;119;1;36;9;5;45;39;2;16;33;9;20;30;35;32;35;6;36;31;33;34;32;14;29;5;31;27;19;3;14;19;14;22;29;21;35;26;6;1749;0;0;0;0;0;0;0;0;0
195207285;6686; Classique ;4298;clos;0.35716;0.64284;1;44;2016;7;73;7;5;68;14;3;71;54;0;52;51;13;53;26;46;41;27;25;48;19;10;19;43;39;43;2;66;39;14;57;7;54;59;2;14;36;37;3;45;25;6;4;2971;0;0;0;0
617423416;7386; Classique ;4440;clos;0.39886;0.60114;1;47;2015;64;14;87;54;44;68;61;3;52;26;22;34;63;69;18;3;50;30;56;26;44;28;46;14;69;66;5;24;3;42;19;60;36;8;50;29;23;28;48;27;26;1;6;43;24;22;2805;0
676639003;3437; Classique ;2283;clos;0.33576;0.66424;1;43;2016;17;1;36;37;3;2;9;35;28;10;5;28;1;16;25;12;8;26;17;29;38;35;0;30;32;24;33;4;14;7;30;29;19;24;13;20;17;11;9;21;22;6;1500;0;0;0;0;0
177301165;1179; Facilitié de paiement ;646;clos;0.45208;0.54792;1;44;2016;22;9;1;9;0;10;1;11;3;8;1;5;9;0;0;9;8;7;8;4;4;8;4;5;10;9;2;2;4;3;4;3;5;1;5;1;9;5;0;1;8;7;4;417;0;0;0;0
221611455;4484; Classique ;2345;clos;0.47703;0.52297;1;44;2016;5;12;21;46;42;19;39;21;40;23;24;36;5;14;16;28;29;35;27;32;36;0;25;18;31;7;34;25;13;21;0;20;9;25;23;2;19;20;9;16;25;3;5;1445;0;0;0;0
852942854;1212; Facilitié de paiement ;606;clos;0.5;0.5;1;41;2016;2;4;0;3;10;2;9;6;4;2;11;0;3;8;0;7;4;6;7;9;5;0;8;9;8;7;5;5;9;6;1;1;0;0;6;5;4;4;2;7;417;0;0;0;0;0;0;0
569994109;3960; Classique ;2259;clos;0.42955;0.57045;1;46;2016;52;35;25;18;39;11;8;36;23;0;37;31;24;25;3;30;1;7;25;26;32;34;13;33;22;22;26;2;28;0;22;27;10;25;24;1;9;16;7;11;24;6;5;24;12;1368;0;0
419584929;2760; Facilitié de paiement ;1578;clos;0.42826;0.57174;1;46;2016;0;7;9;24;19;25;3;11;29;18;1;17;27;25;13;1;25;20;20;4;4;23;7;10;15;14;18;9;13;12;15;1;5;2;5;2;20;8;7;18;17;0;20;18;7;1010;0;0
839189620;3062; Classique ;1840;clos;0.39909;0.60091;1;38;2016;0;13;23;27;21;20;1;13;11;11;19;27;21;20;17;1;24;19;30;8;11;2;5;14;2;22;6;7;1;4;1;15;8;2;9;21;10;1374;0;0;0;0;0;0;0;0;0;0
393563793;1257; Facilitié de paiement ;781;clos;0.37868;0.62132;1;42;2016;10;13;10;1;11;14;1;10;1;8;13;11;9;8;5;5;10;10;12;5;3;12;1;11;4;10;0;2;10;7;9;2;8;10;3;6;3;6;7;7;4;489;0;0;0;0;0;0
225466438;2708; Facilitié de paiement ;1696;clos;0.37371;0.62629;1;36;2016;10;33;28;5;6;3;0;29;25;12;27;1;7;28;6;29;1;13;15;3;2;18;10;8;13;3;14;16;3;15;26;3;5;2;11;1266;0;0;0;0;0;0;0;0;0;0;0;0
425968807;4542; Classique ;2757;clos;0.393;0.607;1;36;2016;90;34;37;5;34;34;39;47;1;48;30;46;46;4;2;21;13;3;9;39;33;17;32;35;1;11;16;16;15;33;35;12;6;32;17;1864;0;0;0;0;0;0;0;0;0;0;0;0
860711573;4585; Classique ;2627;clos;0.42704;0.57296;1;38;2016;30;14;49;4;27;47;45;2;20;2;21;11;29;9;18;31;40;9;15;6;13;12;26;23;34;19;22;32;27;34;20;11;25;0;23;5;28;1844;0;0;0;0;0;0;0;0;0;0
300298734;5777; Classique ;3706;clos;0.35849;0.64151;1;36;2016;125;15;45;63;51;64;43;62;9;19;37;48;62;35;34;40;58;57;39;35;33;8;31;31;6;46;43;9;44;26;15;24;46;13;6;2384;0;0;0;0;0;0;0;0;0;0;0;0
410187871;4408; Classique ;2601;clos;0.40994;0.59006;1;38;2016;23;49;39;41;6;3;47;28;19;19;0;25;16;32;7;44;40;29;23;37;37;18;31;8;14;28;15;16;13;28;10;7;32;9;35;1;20;1752;0;0;0;0;0;0;0;0;0;0
456608035;4679; Classique ;2649;clos;0.43385;0.56615;1;35;2016;18;26;25;41;22;40;12;2;37;40;38;38;45;17;13;31;19;22;7;35;22;38;6;7;0;13;4;14;29;33;38;38;11;35;1833;0;0;0;0;0;0;0;0;0;0;0;0;0
323642503;1188; Facilitié de paiement ;647;clos;0.45539;0.54461;1;42;2016;3;7;12;0;1;8;4;3;0;10;7;9;5;3;8;7;6;10;4;10;1;8;2;3;9;0;0;4;0;1;1;6;7;8;8;8;1;4;5;7;7;440;0;0;0;0;0;0
833735620;6180; Classique ;3570;clos;0.42233;0.57767;1;37;2016;129;62;20;54;39;25;61;3;13;11;29;17;24;17;40;55;34;41;6;54;31;22;35;5;44;52;34;52;15;29;28;24;31;3;15;18;2398;0;0;0;0;0;0;0;0;0;0;0
140797169;4136; Classique ;2883;clos;0.30295;0.69705;1;46;2016;7;47;40;47;25;32;7;35;6;29;16;6;6;19;6;44;20;0;42;4;39;8;31;15;17;1;39;23;40;12;4;24;2;43;0;30;7;32;8;2;18;28;11;36;2;1973;0;0
496127000;6356; Classique ;3772;clos;0.40654;0.59346;1;39;2016;73;8;34;22;36;71;68;21;34;49;53;43;39;43;34;0;41;53;51;46;47;47;16;14;34;39;33;25;20;34;51;33;35;8;48;43;5;30;2391;0;0;0;0;0;0;0;0;0
